year,district,region,season,crop,area_hectares,rainfall_mm,temperature_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_kg_ha,yield_tonnes_ha,production_tonnes
2017,Aurangabad,Marathwada,Rabi,Maize,1433.62,784.5,23.21,54.69,7.24,80.26,34.83,10.0,50.0,2.283,3273.09
2021,Latur,Marathwada,Kharif,Sugarcane,712.45,608.22,28.31,51.49,7.31,179.25,58.15,26.83,73.2,45.068,32108.75
2009,Ratnagiri,Konkan,Kharif,Wheat,734.47,3272.4,27.45,80.5,6.06,72.32,36.86,32.39,50.0,0.471,345.81
2005,Mumbai Suburban,Konkan,Rabi,Soybean,1331.15,2792.44,29.19,59.13,6.88,71.75,37.19,30.46,50.0,0.687,914.54
2020,Sangli,Western Maharashtra,Rabi,Maize,622.32,557.8,25.97,55.83,6.9,107.42,26.34,31.62,50.0,2.872,1787.56
2014,Parbhani,Marathwada,Kharif,Jowar,1161.52,939.63,26.73,60.92,7.3,62.13,17.24,10.0,50.0,0.948,1101.06
2003,Latur,Marathwada,Rabi,Bajra,562.59,853.22,26.82,67.72,6.77,49.55,21.18,10.0,50.0,0.791,445.16
2003,Nandurbar,Khandesh,Rabi,Onion,1079.7,859.79,26.78,60.81,7.07,54.69,25.53,10.0,50.0,11.736,12671.87
2019,Mumbai Suburban,Konkan,Rabi,Cotton,956.15,2789.41,25.95,62.79,6.47,84.91,43.4,10.0,50.0,0.787,752.06
2022,Washim,Vidarbha,Rabi,Sugarcane,2217.2,618.46,28.01,60.43,7.66,176.41,49.77,37.15,62.38,34.724,76989.28
2017,Parbhani,Marathwada,Kharif,Wheat,1012.06,687.4,25.46,56.77,6.52,89.53,42.78,10.0,50.0,2.056,2080.89
2012,Aurangabad,Marathwada,Kharif,Cotton,1779.52,709.26,25.32,46.31,7.29,77.81,30.85,22.65,50.0,1.393,2479.07
2007,Nanded,Marathwada,Kharif,Wheat,464.37,759.06,27.38,74.54,7.05,94.74,40.01,10.78,50.0,1.385,643.29
2021,Nandurbar,Khandesh,Rabi,Soybean,319.07,601.02,29.05,62.1,7.05,69.39,28.45,25.35,50.0,1.184,377.65
2002,Bhandara,Vidarbha,Rabi,Gram,917.85,1071.29,26.63,72.06,6.58,38.84,36.06,20.15,50.0,0.38,348.71
2006,Ratnagiri,Konkan,Kharif,Onion,796.93,4137.62,26.11,64.62,6.71,63.39,31.05,27.72,50.0,7.476,5958.03
2004,Wardha,Vidarbha,Kharif,Rice,295.84,1084.58,22.99,63.74,6.7,101.72,46.22,25.99,58.24,2.07,612.46
2003,Dhule,Khandesh,Rabi,Sugarcane,959.57,536.09,26.78,68.42,7.39,200.06,58.45,26.65,57.58,42.713,40986.25
2018,Sindhudurg,Konkan,Kharif,Wheat,463.03,4661.53,30.63,63.48,6.1,58.05,39.09,28.79,50.0,0.2,92.61
2006,Beed,Marathwada,Kharif,Sugarcane,351.43,459.76,26.84,51.48,7.27,153.63,45.33,60.55,50.0,50.228,17651.9
2022,Washim,Vidarbha,Kharif,Wheat,285.27,752.6,31.3,55.23,7.01,91.66,49.35,20.49,50.0,0.363,103.57
2001,Amravati,Vidarbha,Kharif,Maize,1014.33,658.37,28.04,68.27,6.95,90.28,35.53,20.0,50.0,2.382,2416.19
2016,Chandrapur,Vidarbha,Kharif,Cotton,347.86,998.55,25.05,69.01,6.79,97.2,17.55,41.13,50.0,1.581,549.79
2020,Nandurbar,Khandesh,Kharif,Jowar,998.85,701.79,26.77,59.02,7.15,87.07,10.0,17.16,50.0,1.332,1330.39
2004,Latur,Marathwada,Kharif,Sugarcane,2933.19,496.91,29.4,54.31,6.98,164.21,56.66,50.6,66.29,58.199,170709.22
2013,Kolhapur,Western Maharashtra,Rabi,Sugarcane,693.41,1973.84,27.32,61.08,6.52,169.54,69.9,20.86,68.45,74.504,51661.83
2016,Palghar,Konkan,Kharif,Rice,819.91,1504.55,26.85,47.44,6.32,142.67,61.38,21.61,50.0,3.131,2567.01
2002,Raigad,Konkan,Kharif,Rice,170.24,2141.23,29.54,64.72,5.8,124.57,55.72,34.97,64.55,1.71,291.13
2020,Sindhudurg,Konkan,Kharif,Wheat,418.68,3243.12,28.36,58.65,6.48,96.03,47.33,27.81,50.0,0.555,232.17
2004,Beed,Marathwada,Kharif,Soybean,806.89,731.98,25.67,64.3,7.82,58.85,26.78,22.43,50.0,0.854,688.74
2022,Ahmednagar,Western Maharashtra,Kharif,Maize,312.9,831.65,26.55,53.65,7.36,78.13,36.08,35.71,50.0,1.801,563.67
2011,Washim,Vidarbha,Kharif,Soybean,887.4,780.72,28.11,52.43,6.29,70.82,30.28,25.51,50.0,1.629,1445.51
2022,Parbhani,Marathwada,Kharif,Gram,179.44,768.39,27.93,67.97,6.86,52.82,22.34,13.59,50.0,0.427,76.71
2006,Akola,Vidarbha,Rabi,Onion,857.23,595.55,29.15,57.48,7.07,96.34,53.28,19.17,50.0,9.654,8275.53
2021,Latur,Marathwada,Kharif,Wheat,202.64,690.93,29.27,74.58,6.52,85.89,34.59,30.7,50.0,0.899,182.25
2002,Raigad,Konkan,Kharif,Soybean,264.27,1911.64,25.56,61.89,6.53,74.93,38.62,35.85,50.0,0.961,254.02
2011,Gadchiroli,Vidarbha,Kharif,Bajra,1027.02,1262.49,26.77,77.18,7.23,56.04,26.6,27.91,50.0,0.532,546.46
2010,Wardha,Vidarbha,Kharif,Onion,1038.36,617.78,22.94,47.82,6.84,75.6,59.37,33.27,50.0,18.513,19223.13
2015,Nandurbar,Khandesh,Kharif,Bajra,1236.69,694.02,29.34,51.74,7.1,93.97,27.23,32.2,50.0,1.058,1308.36
2013,Palghar,Konkan,Rabi,Maize,1613.68,2517.73,25.13,68.74,6.88,90.5,32.14,25.45,50.0,1.107,1787.04
2011,Thane,Konkan,Rabi,Rice,525.81,2860.11,29.97,60.74,6.17,75.53,49.57,59.04,53.91,1.72,904.54
2018,Satara,Western Maharashtra,Kharif,Wheat,386.45,1021.89,25.31,68.65,6.82,90.02,38.12,35.77,51.73,1.105,426.87
2016,Satara,Western Maharashtra,Kharif,Onion,1123.12,902.64,28.7,61.59,6.79,103.47,36.38,10.0,50.0,9.663,10852.7
2007,Beed,Marathwada,Kharif,Wheat,709.97,751.51,22.73,59.5,6.71,67.61,47.48,22.85,50.0,2.259,1604.17
2019,Raigad,Konkan,Kharif,Soybean,314.59,2711.77,28.22,65.64,7.31,68.69,31.93,10.96,50.0,0.522,164.11
2010,Nanded,Marathwada,Rabi,Rice,270.03,859.56,25.82,69.37,7.26,117.61,48.47,36.58,51.69,2.379,642.47
2004,Kolhapur,Western Maharashtra,Kharif,Cotton,357.99,1223.89,28.44,67.18,6.41,95.45,10.9,16.12,50.0,1.581,566.04
2019,Pune,Western Maharashtra,Kharif,Jowar,582.25,652.61,26.52,72.13,6.37,68.74,48.21,10.0,50.0,1.497,871.9
2022,Solapur,Western Maharashtra,Rabi,Onion,225.97,612.36,26.73,73.9,7.08,70.45,45.41,29.16,50.0,15.636,3533.31
2002,Mumbai Suburban,Konkan,Rabi,Soybean,574.86,1648.27,28.98,50.85,6.35,80.71,37.42,12.63,50.0,0.718,412.73
2006,Washim,Vidarbha,Kharif,Jowar,187.16,617.85,26.59,71.14,6.74,28.81,46.11,50.59,50.0,1.631,305.33
